STATE,FIP,deaths,pop,fat_rate,Year
Indiana,18,696,6196638,11.23,2003
Iowa,19,208,2941999,7.07,2003
Kansas,20,304,2723004,11.16,2003
Kentucky,21,560,4117170,13.6,2003
Louisiana,22,847,4521042,18.73,2003
Maine,23,82,1306513,6.28,2003
Maryland,24,648,5496269,11.79,2003
Massachusetts,25,204,6422565,3.18,2003
Michigan,26,1030,10041152,10.26,2003
Minnesota,27,332,5053572,6.57,2003
Mississippi,28,477,2868312,16.63,2003
Missouri,29,657,5709403,11.51,2003
Montana,30,145,919630,15.77,2003
Nebraska,31,134,1738643,7.71,2003
Nevada,32,374,2248850,16.63,2003
New Hampshire,33,89,1279840,6.95,2003
New Jersey,34,458,8601402,5.32,2003
New Mexico,35,326,1877574,17.36,2003
New York,36,1034,19175939,5.39,2003
North Carolina,37,1055,8422501,12.53,2003
North Dakota,38,58,638817,9.08,2003
Ohio,39,934,11434788,8.17,2003
Oklahoma,40,449,3504892,12.81,2003
Oregon,41,395,3547376,11.13,2003
Pennsylvania,42,1230,12374658,9.94,2003
Rhode Island,44,35,1071342,3.27,2003
South Carolina,45,593,4150297,14.29,2003
South Dakota,46,76,763729,9.95,2003
Tennessee,47,837,5847812,14.31,2003
Texas,48,2432,22030931,11.04,2003
Utah,49,230,2360137,9.75,2003
Vermont,50,48,617858,7.77,2003
Virginia,51,811,7366977,11.01,2003
Washington,53,565,6104115,9.26,2003
West Virginia,54,265,1812295,14.62,2003
Wisconsin,55,468,5479203,8.54,2003
Wyoming,56,89,503453,17.68,2003
Alabama,01,724,4480089,16.16,2002
Alaska,02,127,642337,19.77,2002
Arizona,04,968,5396255,17.94,2002
Arkansas,05,441,2705927,16.3,2002
California,06,3410,34871843,9.78,2002
Colorado,08,517,4490406,11.51,2002
Connecticut,09,147,3458749,4.25,2002
Delaware,10,74,806169,9.18,2002
District of Columbia,11,195,573158,34.02,2002
Florida,12,1886,16689370,11.3,2002
Georgia,13,1133,8508256,13.32,2002
Hawaii,15,36,1239613,2.9,2002
Idaho,16,163,1340372,12.16,2002
Illinois,17,1231,12525556,9.83,2002
Indiana,18,723,6155967,11.74,2002
Iowa,19,201,2934234,6.85,2002
Kansas,20,268,2713535,9.88,2002
Kentucky,21,544,4089875,13.3,2002
Louisiana,22,876,4497267,19.48,2002
Maine,23,88,1295960,6.79,2002
Maryland,24,615,5440389,11.3,2002
Massachusetts,25,204,6417206,3.18,2002
Michigan,26,1092,10015710,10.9,2002
Minnesota,27,306,5018935,6.1,2002
Mississippi,28,492,2858681,17.21,2002
Missouri,29,696,5674825,12.26,2002
Montana,30,134,911667,14.7,2002
Nebraska,31,140,1728292,8.1,2002
Nevada,32,370,2173791,17.02,2002
New Hampshire,33,76,1269089,5.99,2002
New Jersey,34,415,8552643,4.85,2002
New Mexico,35,304,1855309,16.39,2002
New York,36,994,19137800,5.19,2002
North Carolina,37,1136,8326201,13.64,2002
North Dakota,38,58,638168,9.09,2002
Ohio,39,1069,11407889,9.37,2002
Oklahoma,40,452,3489080,12.95,2002
Oregon,41,374,3513424,10.64,2002
Pennsylvania,42,1220,12331031,9.89,2002
Rhode Island,44,55,1065995,5.16,2002
South Carolina,45,566,4107795,13.78,2002
South Dakota,46,61,760020,8.03,2002
Tennessee,47,905,5795918,15.61,2002
Texas,48,2301,21690325,10.61,2002
Utah,49,207,2324815,8.9,2002
Vermont,50,62,615442,10.07,2002
Virginia,51,806,7286873,11.06,2002
Washington,53,568,6052349,9.38,2002
West Virginia,54,271,1805414,15.01,2002
Wisconsin,55,446,5445162,8.19,2002
Wyoming,56,95,500017,19.0,2002
